field|object|RA|Dec|z|mUV|LUV|M|EW
COSMOS|\setulcolor{COS2987}\ul{COS-2987030247}|10:00:29.8700|02:13:02.470|6.8076|$24.8 \pm 0.1$|$1.3 \pm 0.1$|$1.70_{-0.18}^{+0.49}$|$1128_{-166}^{+166}$
COSMOS|\setulcolor{COS3018}\ul{COS-3018555981}|10:00:30.1850|02:15:59.810|6.8540|$24.9 \pm 0.1$|$1.1 \pm 0.1$|$1.38_{-0.21}^{+0.71}$|$1424_{-143}^{+143}$
